time,price
2017-10-05 15:32:01,4302.7
2017-10-05 15:36:03,4309.88
2017-10-05 15:40:01,4311.39
2017-10-05 15:44:03,4315.28
2017-10-05 15:48:02,4319.04
2017-10-05 15:52:01,4327.17
2017-10-05 15:56:02,4323.82
2017-10-05 16:00:01,4311.01
2017-10-05 16:04:03,4326.02
2017-10-05 16:08:01,4303.2
2017-10-05 16:12:01,4307.22
2017-10-05 16:16:02,4301.18
2017-10-05 16:20:02,4300.64
2017-10-05 16:24:01,4311.48
2017-10-05 16:28:03,4314.2
2017-10-05 16:32:01,4315.31
2017-10-05 16:36:02,4310.15
2017-10-05 16:40:01,4316.56
2017-10-05 16:44:01,4316.84
2017-10-05 16:48:02,4302.0
2017-10-05 16:52:01,4287.57
2017-10-05 16:56:02,4306.21
2017-10-05 17:00:01,4300.85
2017-10-05 17:04:02,4299.88
2017-10-05 17:08:01,4301.6
2017-10-05 17:12:02,4307.66
2017-10-05 17:16:01,4308.62
2017-10-05 17:20:02,4304.57
2017-10-05 17:24:01,4305.4
2017-10-05 17:28:01,4315.34
2017-10-05 17:32:01,4312.03
2017-10-05 17:36:01,4330.43
2017-10-05 17:40:02,4318.72
2017-10-05 17:44:01,4325.38
2017-10-05 17:48:01,4329.93
2017-10-05 17:52:04,4327.63
2017-10-05 17:56:01,4327.63
2017-10-05 18:00:02,4325.17
2017-10-05 18:04:01,4318.75
2017-10-05 18:08:02,4316.59
2017-10-05 18:12:01,4322.27
2017-10-05 18:16:01,4318.09
2017-10-05 18:20:02,4319.08
2017-10-05 18:24:01,4320.03
2017-10-05 18:28:02,4306.02
2017-10-05 18:32:01,4312.87
2017-10-05 18:36:02,4309.89
2017-10-05 18:40:01,4310.19
2017-10-05 18:44:02,4315.06
2017-10-05 18:48:02,4311.71
2017-10-05 18:52:01,4311.15
2017-10-05 18:56:01,4311.61
2017-10-05 19:00:03,4318.28
2017-10-05 19:04:01,4319.56
2017-10-05 19:08:02,4306.81
2017-10-05 19:12:01,4315.48
2017-10-05 19:16:02,4308.92
2017-10-05 19:20:02,4317.06
2017-10-05 19:24:01,4318.09
2017-10-05 19:28:02,4308.26
2017-10-05 19:32:01,4306.78
2017-10-05 19:36:01,4307.98
2017-10-05 19:40:02,4304.68
2017-10-05 19:44:02,4300.76
2017-10-05 19:48:03,4299.74
2017-10-05 19:52:02,4316.5
2017-10-05 19:56:01,4316.5
2017-10-05 20:00:02,4298.87
2017-10-05 20:04:02,4300.73
2017-10-05 20:08:01,4300.21
2017-10-05 20:12:01,4307.27
2017-10-05 20:16:02,4309.39
2017-10-05 20:20:03,4310.94
2017-10-05 20:24:01,4314.94
2017-10-05 20:28:02,4315.65
2017-10-05 20:32:01,4322.06
2017-10-05 20:36:01,4328.45
2017-10-05 20:40:02,4340.6
2017-10-05 20:44:01,4339.22
2017-10-05 20:48:02,4339.5
2017-10-05 20:52:01,4334.58
2017-10-05 20:56:02,4340.6
2017-10-05 21:00:01,4339.64
2017-10-05 21:04:02,4331.76
